Date,Holiday
01-01-2016,New Year's Day
18-01-2016,"Martin Luther King, Jr. Day"
14-02-2016,Valentine’s Day
15-02-2016,Washington's Birthday
27-03-2016,Western Easter
01-05-2016,Eastern Easter
30-05-2016,Memorial Day
19-06-2016,Juneteenth
04-07-2016,4th of July
03-09-2016,Labor Day Weekend
04-09-2016,Labor Day Weekend
05-09-2016,Labor Day
10-10-2016,Columbus Day
11-11-2016,Veterans Day
23-11-2016,Thanksgiving Eve
24-11-2016,Thanksgiving Day
24-12-2016,Christmas Eve
25-12-2016,Christmas Day
31-12-2016,New Year’s Eve
01-01-2017,New Year's Day
16-01-2017,"Martin Luther King, Jr. Day"
14-02-2017,Valentine’s Day
20-02-2017,Washington's Birthday
16-04-2017,Eastern Easter
16-04-2017,Western Easter
29-05-2017,Memorial Day
19-06-2017,Juneteenth
04-07-2017,4th of July
02-09-2017,Labor Day Weekend
03-09-2017,Labor Day Weekend
04-09-2017,Labor Day
09-10-2017,Columbus Day
11-11-2017,Veterans Day
22-11-2017,Thanksgiving Eve
23-11-2017,Thanksgiving Day
24-12-2017,Christmas Eve
25-12-2017,Christmas Day
31-12-2017,New Year’s Eve
01-01-2018,New Year's Day
15-01-2018,"Martin Luther King, Jr. Day"
14-02-2018,Valentine’s Day
19-02-2018,Washington's Birthday
01-04-2018,Western Easter
08-04-2018,Eastern Easter
28-05-2018,Memorial Day
19-06-2018,Juneteenth
04-07-2018,4th of July
01-09-2018,Labor Day Weekend
02-09-2018,Labor Day Weekend
03-09-2018,Labor Day
08-10-2018,Columbus Day
11-11-2018,Veterans Day
21-11-2018,Thanksgiving Eve
22-11-2018,Thanksgiving Day
24-12-2018,Christmas Eve
25-12-2018,Christmas Day
31-12-2018,New Year’s Eve
01-01-2019,New Year's Day
21-01-2019,"Martin Luther King, Jr. Day"
14-02-2019,Valentine’s Day
18-02-2019,Washington's Birthday
21-04-2019,Western Easter
28-04-2019,Eastern Easter
27-05-2019,Memorial Day
19-06-2019,Juneteenth
04-07-2019,4th of July
31-08-2019,Labor Day Weekend
01-09-2019,Labor Day Weekend
02-09-2019,Labor Day
14-10-2019,Columbus Day
11-11-2019,Veterans Day
27-11-2019,Thanksgiving Eve
28-11-2019,Thanksgiving Day
24-12-2019,Christmas Eve
25-12-2019,Christmas Day
31-12-2019,New Year’s Eve
01-01-2020,New Year's Day
20-01-2020,"Martin Luther King, Jr. Day"
14-02-2020,Valentine’s Day
17-02-2020,Washington's Birthday
12-04-2020,Western Easter
19-04-2020,Eastern Easter
25-05-2020,Memorial Day
19-06-2020,Juneteenth
04-07-2020,4th of July
05-09-2020,Labor Day Weekend
06-09-2020,Labor Day Weekend
07-09-2020,Labor Day
12-10-2020,Columbus Day
11-11-2020,Veterans Day
25-11-2020,Thanksgiving Eve
26-11-2020,Thanksgiving Day
24-12-2020,Christmas Eve
25-12-2020,Christmas Day
31-12-2020,New Year’s Eve
